job_name,company_name,location,category,job_link,description,about_company,requirements
Lead Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",Developer / Engineer,/jobs/8122/,Lead Python Backend Engineer,,"[""We're looking for someone with 2+ years of team management and 5+ years of programming experience (including at least a year with Python, open source and significant personal projects do count). ""]"
Senior Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",Developer / Engineer,/jobs/8121/,Senior Python Backend Engineer,,"[""We're looking for someone with 5+ years of programming experience, including at least a year with Python (including opensource and significant personal projects). ""]"
Python Backend Engineer,Constelli Signals,"Hyderabad, Telangana, India",Developer / Engineer,/jobs/8120/,"We are hiring a Python Backend Engineer to take ownership of high-throughput backend services. You will work alongside our front-end and C# application teams to build the infrastructure that ingests, processes, and routes real-time data streams across our platforms.","We are a dynamic team of young engineers, domain experts, and seasoned sales professionals dedicated to providing comprehensive turnkey solutions for complex challenges in Signal Processing. Our expertise spans the cutting-edge technologies in Signal Processing, addressing critical needs in the Defence and Aerospace sectors. Our offerings encompass a wide range of solutions, from tactical radios and radar systems to extensive research and mission-critical applications.","['Experience: 4+ years of professional backend software engineering experience, primarily in Python. ', 'Asynchronous Python: Strong working knowledge of asyncio and concurrent programming patterns for high-throughput I/O. ', 'API Frameworks: Production experience with FastAPI (or comparable async frameworks such as Starlette, aiohttp, or Sanic) and pydantic-based schema validation. ', 'Message Brokers: Hands-on experience with at least one event streaming or message broker platform — Apache Kafka, RabbitMQ, NATS, or equivalent. ', 'Databases: Proficient with PostgreSQL and capable of writing optimized SQL; comfortable with schema design, indexing, and query profiling. ', 'Time-Series Data: Working familiarity with time-series databases (e.g., TimescaleDB, InfluxDB, QuestDB) and the trade-offs of heavy-write workloads.\nNetworking: Solid grasp of TCP/UDP, WebSockets, and HTTP/REST; able to debug at the protocol level when needed. ', 'Platform & Tooling: Comfortable Git-based workflows. ', 'Testing & Quality: Demonstrated practice with pytest, unit and integration testing, and CI pipelines. ']"
Senior Full-Stack Engineer [Full Time; 100% remote; US-only],Hive Collective,"Anywhere, Anywhere, USA",Developer / Engineer,/jobs/8119/,"You'd be joining a lean, high-leverage engineering team tackling the complexity of legal software — not by pushing longer hours, but by getting genuinely good at working alongside AI. This isn't a ""we occasionally use ChatGPT"" team. The group is actively figuring out how to hand repetitive engineering work to AI so people can spend their time on the problems that actually need human judgment.",Most B2B software hangs on by selling harder. This company we represent hangs on because customers refuse to leave.,"[""What We're Looking For "", '7+ years of professional, commercial software development — shipping, deploying, maintaining, and debugging real production systems — plus: ', 'A track record of actually improving how a team ships software using modern AI tooling (not just personal productivity hacks)  ', 'Hands-on experience with AI coding agents (e.g., tools like Claude Code, Codex, or similar) as part of your regular workflow  ', 'Experience pointing AI tooling at large-scale refactors, modularization, and code analysis  ', 'Solid Python / Django experience  ', 'Solid React experience  ', 'GraphQL experience (Apollo Client and/or Relay)  ', 'Comfort writing real unit test coverage  ', 'Nice to Have ', 'AWS, Docker, Terraform  ', 'MongoDB, PostgreSQL  ', 'Git  ', 'Experience with third-party integrations — things like O365, DocuSign, generic REST APIs, Salesforce, SAML 2.0, or Zapier  ', 'Exposure to monitoring/alerting tooling  ', 'Who Does Well Here ', 'Sharp analytical and problem-solving instincts  ', 'Real curiosity about LLMs and AI-assisted engineering — not just tolerance for it  ', 'Comfortable with shifting priorities and some ambiguity  ', 'Cares about the end-user experience, not just the code  ', 'Self-directed, high agency, high accountability  ', 'Takes pride in the craft and welcomes feedback  ', 'Communicates and documents clearly  ', 'Genuinely curious, always picking up new tools  ', 'Operates with integrity and sound judgment  ']"
Python Developer,Micro1,"Miami Shores, FL, United States",Developer / Engineer,/jobs/8118/,"Job Summary: In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required — your domain knowledge is what matters.",,"['3+ years of professional experience as a backend developer, with strong expertise in Python.  ', 'Proficient in building and maintaining RESTful and GraphQL APIs.  ', 'Advanced understanding of backend data validation, error handling, and API security.  ', 'Hands-on experience with database migrations, performance tuning, and schema design.  ', 'Extensive use of AI tools for coding; familiarity with Cursor is highly desirable.  ', 'Outstanding written and verbal communication skills, with a knack for clear incident and bug reporting.  ', 'Proven ability to thrive in fast-paced, confidential, and collaborative remote environments.  ', 'Preferred Qualifications: ', 'Visible contributions to open source (e.g., GitHub stars or contributions).  ', 'Experience designing or evaluating experimental tooling and developer workflows.  ', 'Demonstrated enthusiasm for AI advancements in software development.  ', 'About the Company ', 'micro1 matches companies with skilled, pre-vetted software developers worldwide. ']"
Senior Python Engineer,EPAM,"Miami Shores, FL, United States",Developer / Engineer,/jobs/8117/,Job Description,,"['Solid experience in Python backend development  ', 'Familiarity with frameworks like FastAPI, Flask or Django  ', 'Practical experience using AWS, Azure or GCP  ', 'Proven background building REST APIs and microservices  ', 'Sound knowledge of relational and/or NoSQL databases  ', 'Exposure to CI/CD, testing and modern software engineering practices  ', 'Excellent analytical and problem-solving abilities  ', 'Nice to have ', 'Working knowledge of Docker and Kubernetes  ', 'Background in serverless architectures  ', 'Familiarity with data pipelines or event-driven architectures  ', 'Understanding of Terraform or infrastructure as code  ', 'We offer/Benefits ', 'Connectivity Bonus (25,000 ARS are paid with a salary receipt at the end of each month as a non-wages concept). ']"
Senior Python Engineer,Turing,"Miami Shores, FL, United States",Developer / Engineer,/jobs/8116/,"Job Description
Role Overview:",,"['What does day-to-day look like: ', 'Design, develop, and maintain efficient, high-quality Python code to train and optimize AI models.  ', 'Conduct evaluations (Evals) to benchmark model performance and analyze results for continuous improvement.  ', 'Familiarity with Python frameworks and libraries  ', 'Evaluate and rank AI model responses to user queries across diverse domains, ensuring alignment with predefined criteria.  ', 'Develop comprehensive explanations and rationales for evaluations, showcasing excellent reasoning and technical expertise.  ', 'Lead efforts in Supervised Fine-Tuning (SFT), including creating and maintaining high-quality, task-specific datasets.  ', 'Collaborate with researchers and annotators to execute Reinforcement Learning with Human * Feedback (RLHF) and refine reward models.  ', ""Design innovative evaluation strategies and processes to improve the model's alignment with user needs and ethical guidelines.  "", 'Create and refine optimal responses to improve AI performance, emphasizing clarity, relevance, and technical accuracy.  ', 'Conduct thorough peer reviews of code and documentation, providing constructive feedback and identifying areas for improvement.  ', 'Collaborate with cross-functional teams to improve model performance and contribute to product enhancements.  ', 'Continuously explore and integrate new tools, techniques, and methodologies to enhance AI training processes.  ', 'Requirements: ', '3+ years of strong experience with Python programming language.  ', 'Industry experience and knowledge of code quality, formatting, and best practices of software development  ', 'Experience with Python’s testing ecosystem, including unit, integration, and property-based testing.  ', 'Knowledge of multi-threading and asynchronous programming in Python.  ', 'Ability to work with architectural patterns and refactor code without introducing regressions.  ', 'Strong debugging skills, including fixing memory and concurrency issues.  ', 'Fluent in conversational and written English communication skills  ']"
Senior Backend Engineer,MyOme,"Remote in the United States, Colorado, United States",Developer / Engineer,/jobs/8115/,Position Overview:,"MyOme’s mission is to provide clinically actionable genetic information to patients throughout their lives. We combine clinical-grade whole genome sequencing, advanced AI methods for genome interpretation, and seamless digital tools for doctors and patients to order and access results. Our team is composed of seasoned entrepreneurs, scientists, and operators, and we're backed by top-tier investors.","[""What You'll Need: "", 'No specific degree prerequisite. If you can do the work well and humbly, we want to talk with you.\n6+ years of software development experience\n2+ years of healthcare/biotech experience\nExperience with HIPAA compliance and healthcare software, or other privacy-focused frontends\nProven track record of building and deploying production-grade web applications\nExperience with CI/CD pipelines\nComfortable in Python/Django\nComfortable with designing APIs\nPreferable experience in genetics ']"
Senior Python/DevOps Engineer (100% Remote - USA Only),Six Feet Up,"100% Remote, USA Only",Developer / Engineer,/jobs/8113/,"Six Feet Up is seeking a seasoned Python/DevOps Engineer (100% remote, USA only) who can work across software development, architecture, cloud infrastructure, data, AI, and client collaboration.","Six Feet Up makes the world a better place by using technology to accelerate the initiatives of companies that do good. Our engineers specialize in app development, AI, big data and cloud technology. Our impactful clients focus on tech & science, social good, and the environment.","['Strong candidates will have meaningful experience in several of the following areas: ', 'Python  ', 'Django, Wagtail, FastAPI, Flask, or comparable frameworks  ', 'REST, GraphQL, event-driven systems, and third-party integrations  ', 'PostgreSQL and relational data modeling  ', 'JavaScript or TypeScript and modern frontend frameworks  ', 'Automated testing, code quality, and continuous integration  ', 'Docker and containerized application development  ', 'AWS, Azure, or another major cloud platform  ', 'Kubernetes and cloud-native application delivery  ', 'Infrastructure as code and deployment automation  ', 'Integration of AI/ML capabilities into production systems  ', 'AI-assisted development workflows  ', 'Application performance, observability, and production troubleshooting  ', 'Secure practices such as least-privilege access, secrets management, dependency management, and remediation of common application vulnerabilities  ', 'Data ingestion, transformation, or processing workflows  ', 'Authentication, authorization, SSO, and secure application design  ', 'Legacy system modernization and incremental migrations  ', 'As a Senior Python/DevOps Engineer, you will: ', 'Work with clients and teammates to understand business goals, user needs, constraints, and desired outcomes.  ', 'Design and deliver secure, maintainable, well-tested software across application, data, integration, and infrastructure boundaries.  ', 'Use AI tools responsibly to accelerate development while reviewing and validating generated code, tests, analysis, and recommendations.  ', 'Rapidly evaluate emerging technologies and determine where they can improve delivery, quality, security, or developer productivity.  ', 'Help evolve how the team uses AI for coding, testing, code review, documentation, debugging, estimation, discovery, and delivery.  ', 'Work with delivery leads to turn unclear initiatives into practical, incremental technical plans.  ', 'Identify architectural, security, privacy, performance, reliability, and delivery risks early.  ', 'Contribute across the application stack, including backend services, APIs, databases, integrations, frontend applications, data workflows, and cloud infrastructure.  ', 'Improve testing, deployment automation, observability, documentation, and developer workflows.  ', 'You are an experienced software engineer who: ', 'Learns publicly by sharing findings, examples, warnings, and practical guidance with teammates.  ', 'Can solve problems that cross traditional boundaries between development, data, infrastructure, and operations.  ', 'Makes decisions based on client needs, project constraints, maintainability, risk, and long-term value.  ', 'Communicates progress, uncertainty, risks, and blockers openly.  ', 'Treats learning, experimentation, and technical reinvention as part of the job, not something reserved for spare time.  ', 'Is energized by rapidly changing technology and comfortable replacing familiar workflows when a better approach emerges.  ', 'Learns publicly by sharing discoveries, failures, limitations, and useful techniques with the team through demos, documentation, pairing, and technical discussions.  ', 'You are successful when you: ']"
Python + TypeScript Engineers,Fusionbox,"Remote (US Based), Any US State, US",Developer / Engineer,/jobs/8111/,"Fusionbox is a software engineering consultancy that builds enterprise software the right way. We negotiate the right to open source all our client code, maintain a handful of popular libraries, and our engineers contribute to Django core. We sponsor PyCon, DjangoCon, and Django Girls because we're invested in the ecosystem we build on.","We believe the best software comes from first understanding the problem it tries to solve. We ask a lot of questions, invest time in learning our clients' businesses and domains, and work to understand the challenges from their perspective.","['5 years of using Python pythonically  ', '3 years of React Experience  ', 'Django Experience Preferred  ', 'US-Based  ', 'Must be able to communicate complex technical concepts clearly and professionally in spoken English.  ']"
